"AIR",22.80,22.93,1.77,+0.02,22.89,4.97,"+0.09%",1.48,34400000,0.49,17.83,11.70,135959,"AAR Corp. Common Stock",7561959.6752458,0
"AJRD",15.87,15.90,-0.15,-0.10,15.80,22.48,"-0.63%",1.07,64400000,0.60,21.31,15.02,73889,"Aerojet Rocketdyne Holdings, In",7561959.6752458,0
"AVAV",27.63,27.75,1.84,+0.16,27.82,8.38,"+0.58%",-14.39,22985000,2.38,277.90,99.25,70830,"AeroVironment, Inc.",7561959.6752458,0
"ATRO",36.4800,36.7100,3.4520,-0.3257,36.1800,2.7000,"-0.8928%",0.4000,25600000,1.3490,15.1909,13.7994,39587,"Astronics Corporation",7561959.6752458,0
"BEAV",46.91,47.01,2.40,-0.56,46.36,4.04,"-1.19%",1.21,102110000,1.75,14.35,12.66,247053,"B/E Aerospace, Inc.",7561959.6752458,0
"CAE",11.32,11.34,0.49,+0.09,11.42,3.78,"+0.80%",1.50,269932000,1.67,13.58,12.54,17597,"CAE Inc. Ordinary Shares",7561959.6752458,0
"CVU",7.25,6.40,-0.98,-0.04,7.25,7.79,"-0.55%",0.58,8577000,0.70,8.69,6.16,48033,"CPI Aerostructures, Inc. Common",7561959.6752458,0
"CW",74.63,74.70,4.77,-0.58,74.18,4.22,"-0.78%",1.65,44528000,1.51,18.06,16.35,154191,"Curtiss-Wright Corporation Comm",7561959.6752458,0
"DCO",15.37,15.38,1.49,+0.57,15.88,8.85,"+3.71%",1.49,11083000,0.24,10.84,8.71,12951,"Ducommun Incorporated Common St",7561959.6752458,0
"ESL",65.63,65.82,5.47,-0.96,64.82,3.24,"-1.46%",1.32,29629000,1.04,14.44,11.91,134608,"Esterline Technologies Corporat",7561959.6752458,0
"HEI",59.64,59.72,2.21,-0.64,59.06,8.68,"-1.07%",2.29,66900000,3.25,25.88,23.51,49718,"Heico Corporation Common Stock",7561959.6752458,0
"HXL",44.060,44.080,1.610,-0.255,43.770,14.520,"-0.579%",1.560,93290000,2.208,17.452,14.951,66743,"Hexcel Corporation Common Stock",7561959.6752458,0
"KLXI",31.88,31.94,2.79,+0.04,31.94,8.18,"+0.13%",-1.11,52798000,0.99,14.58,12.47,69212,"KLX Inc.",7561959.6752458,0
"LMIA",8.98,8.98,-0.29,+0.02,9.00,8.16,"+0.22%",1.23,12994000,0.31,50.00,16.98,4375,"LMI Aerospace, Inc.",7561959.6752458,0
